250000	189.795
252800	191.154
255600	194.341
258400	199.448
261200	202.608
264000	204.236
266800	208.653
269600	214.041
272400	216.556
275200	219.05
278000	224.637
280800	229.993
283600	232.224
286400	235.959
289200	242.594
292000	247.644
294800	250.096
297600	255.402
300400	262.835
303200	267.489
306000	270.817
308800	277.818
311600	285.808
314400	290.317
317200	295.149
320000	303.899
322800	312.299
325600	317.191
328400	324.088
331200	334.639
334000	343.502
336800	349.572
339600	359.053
342400	371.639
345200	381.596
348000	389.852
350800	402.594
353600	417.551
356400	429.125
359200	440.704
362000	457.629
364800	475.716
367600	490.254
370400	506.893
373200	529.499
376000	552.242
378800	572.058
381600	596.49
384400	627.472
387200	658.381
390000	687.979
392800	725.548
395600	771.374
398400	817.577
401200	866.004
404000	927.38
406800	1000.22
409600	1076.61
412400	1163.97
415200	1278.16
418000	1416.23
420800	1571.86
423600	1765.36
426400	2024.93
429200	2351.95
432000	2757.66
434800	3280.53
437600	3897.1
440400	4419.17
443200	4502.24
446000	4094.08
448800	3501.9
451600	2940.53
454400	2474.32
457200	2118.18
460000	1850.93
462800	1631.17
465600	1454.47
468400	1313.45
471200	1198.13
